po2,suv
1.3693270735524257, 6.734202747348288
1.971830985915493, 6.35680751173709
2.4100156494522693, 6.0904190575552075
2.9029733959311432, 5.801843157711703
3.450704225352114, 5.513302034428795
4.162754303599376, 5.158198574161016
4.9843505477308305, 4.780942444792211
6.353677621283255, 4.248478525473831
7.723004694835684, 3.760459050599896
9.42097026604069, 3.27264823508955
11.721439749608766, 2.740775517301338
13.63849765258216, 2.4086593635889404
14.953051643192492, 2.209494001043298
16.979655712050082, 1.966336289340985
18.622848200312994, 1.811824030603372
20.101721439749614, 1.6794296644061895
22.018779342723008, 1.5695357329160124
24.154929577464795, 1.4375586854460103
26.510172143974966, 1.3501651886628423
28.810641627543045, 1.284959137541298
31.001564945226928, 1.2196835332985572
33.08294209702662, 1.1987828203790638
