po2,suv
1.6859760956278607, 7.916165249199591
1.7072352924910825, 5.919393724285373
4.798030202245234, 6.710156870715664
2.7042252942859615, 6.983279198884116
4.892799052216317, 4.904492326798683
7.346397930873489, 3.4054790885006563
7.7768237250134975, 3.180352419993787
11.70572906906164, 3.290991288404042
12.71190448820472, 1.8506604023110234
12.70378476364742, 1.6702146058624834
14.98316913813717, 1.6990181558539525
21.43196709701767, 1.5509366519502708
32.0358790004211, 1.660722347184462
31.58197437415214, 1.6797611198318623
42.014775777932115, 1.3449708483130232
18.943465303088367, 1.2138315341412569
