po2,suv
4.43661971830986, 8.225039123630674
3.286384976525823, 7.690975482524779
1.5336463223787176, 6.356529299252305
2.300469483568076, 6.245905059989568
1.314553990610329, 5.245279081898801
5.477308294209704, 3.8256998782820375
8.708920187793428, 3.649973917579551
11.392801251956183, 3.518344635715528
8.489827856025041, 2.894279255781604
5.312989045383411, 2.5367066597113554
13.912363067292649, 1.7421665797252643
16.158059467918626, 1.210259085376455
18.12989045383412, 1.5670665971135431
19.061032863849768, 1.8343244653103792
20.978090766823165, 1.3244305338202054
20.978090766823165, 1.746652756042426
21.58059467918623, 1.7470352982090063
28.48200312989046, 1.6180838115110419
30.94679186228483, 1.6196487567379592
33.302034428795, 1.3100330377325697
